商品编码,商品名称,规格型号,商品类型,商品分类,默认仓库
303009,UKEA 电镀装饰件-左,691831,实物,电镀件,外购半成品仓
304019,UKEA 喷漆装饰件-右,,实物,喷漆件,外购半成品仓
304020,UKEA 喷漆装饰件-左,,实物,喷漆件,外购半成品仓
304021,D13 喷漆开关装饰件-霁雾蓝,,实物,喷漆件,外购半成品仓
304022,D13 喷漆开关装饰件-霁雨灰,,实物,喷漆件,外购半成品仓
304023,D13 喷漆开关装饰件-林木棕,,实物,喷漆件,外购半成品仓
302083,D13 6H装饰件-电镀素材,,实物,注塑件,外购半成品仓
303010,D13 6H装饰件-电镀,,实物,电镀件,外购半成品仓
305007,D13 6H装饰件-PVD,,实物,PVD件,外购半成品仓
304024,EKEAA喷漆装饰件-左,,实物,喷漆件,外购半成品仓
304025,EKEAA喷漆装饰件-右,,实物,喷漆件,外购半成品仓
302084,D13 6H装饰件-PVD素材,,实物,注塑件,外购半成品仓
304028,UG喷漆件装饰件-绫灰银,,实物,喷漆件,外购半成品仓
304029,ST2 左装饰件-喷漆-汝窑米,,实物,喷漆件,外购半成品仓
304030,ST2 右装饰件-喷漆-汝窑米,,实物,喷漆件,外购半成品仓
304031,ST2 左装饰件-喷漆-层峦棕,,实物,喷漆件,外购半成品仓
304032,ST2 右装饰件-喷漆-层峦棕,,实物,喷漆件,外购半成品仓
303012,ST2 装饰件-电镀,,实物,电镀件,外购半成品仓
302090,ST2 装饰件-电镀素材,,实物,注塑件,外购半成品仓
304026,ST2 左装饰件-喷漆-芳堂红,,实物,喷漆件,外购半成品仓
304027,ST2 右装饰件-喷漆-芳堂红,,实物,喷漆件,外购半成品仓
303013,ST2 6H外侧装饰件-电镀,,实物,电镀件,外购半成品仓
302091,ST2 6H外侧装饰件-电镀素材,,实物,注塑件,外购半成品仓
303014,ST2 6H内侧装饰件-电镀,,实物,电镀件,外购半成品仓
302092,ST2 6H内侧装饰件-电镀素材,,实物,注塑件,外购半成品仓
304033,UG喷漆件装饰件-浅云银,,实物,喷漆件,外购半成品仓
304034,ST2 左装饰件-喷漆-赤夕橙,,实物,喷漆件,外购半成品仓
304035,ST2 右装饰件-喷漆-赤夕橙,,实物,喷漆件,外购半成品仓
304036,T26钢琴黑喷漆件,,实物,喷漆件,外购半成品仓
304038,ST2 左装饰件-喷漆-钢琴黑,,实物,喷漆件,外购半成品仓
304039,ST2 右装饰件-喷漆-钢琴黑,,实物,喷漆件,外购半成品仓
304040,ST2 左装饰件-喷漆-秋茶棕,,实物,喷漆件,外购半成品仓
304041,ST2 右装饰件-喷漆-秋茶棕,,实物,喷漆件,外购半成品仓
304042,ST2 左装饰件-喷漆-深黑五,,实物,喷漆件,外购半成品仓
304043,ST2 右装饰件-喷漆-深黑五,,实物,喷漆件,外购半成品仓
303015,ST2 装饰件-电镀（哑）,,实物,未分类,外购半成品仓
303016,ST2 6H外侧装饰件-电镀（哑）,,实物,未分类,外购半成品仓
303017,ST2 6H内侧装饰件-电镀（哑）,,实物,未分类,外购半成品仓
303018,ST2 装饰件-电镀（亮光）,,实物,未分类,外购半成品仓
303019,ST2 6H外侧装饰件-电镀（亮光）,,实物,未分类,外购半成品仓
303020,ST2 6H内侧装饰件-电镀（亮光）,,实物,未分类,外购半成品仓
304044,ST2 左装饰件-喷漆-乔木橙,,实物,未分类,外购半成品仓
304045,ST2 右装饰件-喷漆-乔木橙,,实物,未分类,外购半成品仓
304046,ST2 左装饰件-喷漆-灰陶,,实物,未分类,外购半成品仓
304047,ST2 右装饰件-喷漆-灰陶,,实物,未分类,外购半成品仓
